Processo                 ; Crime             ; Cidade                ; Vara                                                                ; Juiz                                         ; Pena_Base     ; Pena_Definitiva        ; anos_b; meses_b; dias_b; anos_d; meses_d; dias_d
0000919-27.2016.8.26.0681; Roubo             ; Louveira              ; Vara Única                                                          ; Camila Corbucci Monti Manzano                ; N/A               ; N/A                 ;      0;       0;      0;      0;       0;      0
0000919-27.2016.8.26.0681; Roubo             ; Louveira              ; Vara Única                                                          ; Camila Corbucci Monti Manzano                ; N/A               ; N/A                 ;      0;       0;      0;      0;       0;      0
0001070-10.2018.8.26.0394; Roubo             ; Nova Odessa           ; 1ªª Vara Judicial                                                   ; GUILHERME SOUZA LIMA AZEVEDO                 ; 4 ano
0001149-16.2021.8.26.0642; Roubo             ; Ubatuba               ; 3ª Vara                                                             ; Diogo Volpe Gonçalves Soares                 ; N/A               ; 9 ano 26 dia        ;      0;       0;      0;      9;       0;     26
0001323-53.2019.8.26.0526; Roubo             ; Salto                 ; 2ªª Vara                                                            ; Beatriz Sylvia Straube de Almeida Prado Costa; 4 ano 0 mês 0 dia ; 7 ano 6 mês 0 dia   ;      4;       0;      0;      7;       6;      0
0001520-91.2016.8.26.0306; Roubo             ; José Bonifácio        ; 2ª Vara                                                             ; Natália Berti                                ; N/A               ; 1 ano 0 mês 0 dia   ;      0;       0;      0;      1;       0;      0
0001520-91.2016.8.26.0306; Roubo             ; José Bonifácio        ; 2ª Vara                                                             ; Natália Berti                                ; N/A               ; N/A                 ;      0;       0;      0;      0;       0;      0
0001742-32.1994.8.26.0338; Roubo             ; Mairiporã£            ; 2ªª Vara                                                            ; SANDRO CAVALCANTI ROLLO                      ; N/A               ; N/A                 ;      0;       0;      0;      0;       0;      0
0001900-87.2008.8.26.0050; Roubo             ; SãO PAULO             ; 6ª Vara Criminal                                                    ; Margot Chrysostomo Corrêa                    ; N/A               ; 6 ano 2 mês 20 dia  ;      0;       0;      0;      6;       2;     20
0001900-87.2008.8.26.0050; Roubo             ; SãO PAULO             ; 6ª Vara Criminal                                                    ; Margot Chrysostomo Corrêa                    ; N/A               ; N/A                 ;      0;       0;      0;      0;       0;      0
